# mode   [cm-1]    [THz]      IR
    1     -0.00   -0.0000    0.0000
    2     -0.00   -0.0000    0.0000
    3      0.00    0.0000    0.0000
    4     98.48    2.9524    0.0001
    5     98.48    2.9524    0.0001
    6    118.09    3.5403    0.0179
    7    120.92    3.6251    0.0000
    8    137.66    4.1268    0.0154
    9    137.66    4.1268    0.0154
   10    197.49    5.9205    0.3161
   11    197.49    5.9205    0.3161
   12    235.65    7.0646    0.0000
   13    307.78    9.2271    0.0000
   14    310.58    9.3109    0.0000
   15    317.16    9.5083    2.4344
   16    317.16    9.5083    2.4344
   17    344.18   10.3181    0.0000
   18    344.54   10.3290    8.3784
   19    348.09   10.4354    4.5627
   20    348.09   10.4354    4.5627
   21    359.25   10.7700    7.8641
   22    359.25   10.7700    7.8641
   23    366.31   10.9816    0.0000
   24    381.55   11.4385    6.8013
